zdanie_nieformalne,zdanie_formalne,model,generator
Gdzie jest ładowarka do mojego fona?,Gdzie znajduje się ładowarka do mojego telefonu?,gemini-2.5,seba
"Pogadamy o tym później, ok?","Porozmawiamy na ten temat w późniejszym terminie, zgoda?",gemini-2.5,seba
Ale dzisiaj pogoda do kitu.,Dzisiejsza pogoda jest bardzo niesprzyjająca.,gemini-2.5,seba
"On jest gość, zna się na rzeczy.","To kompetentna osoba, posiada dużą wiedzę w tej dziedzinie.",gemini-2.5,seba
Muszę ogarnąć chatę przed gośćmi.,Muszę posprzątać mieszkanie przed przyjściem gości.,gemini-2.5,seba
Zajawka na nowy serial.,Jestem bardzo podekscytowany/podekscytowana nowym serialem.,gemini-2.5,seba
Będzie grubo na imprezie firmowej.,Impreza firmowa zapowiada się bardzo interesująco/hucznie.,gemini-2.5,seba
"Nie mam pojęcia, jak to zrobić.",Nie posiadam wiedzy na temat sposobu realizacji tego zadania.,gemini-2.5,seba
"Zajebiście, że się udało!","Wspaniale, że odnieśliśmy sukces!",gemini-2.5,seba
Ten wykład był nudny jak flaki z olejem.,Ten wykład był wyjątkowo nieinteresujący.,gemini-2.5,seba
Muszę skoczyć do sklepu po bułki.,Muszę udać się do sklepu po pieczywo.,gemini-2.5,seba
Coś mi nie styka w tych obliczeniach.,Coś wydaje się nieprawidłowe w tych obliczeniach.,gemini-2.5,seba
"Spoko, załatwię to.","Oczywiście, zajmę się tym.",gemini-2.5,seba
O której jest zbiórka jutro?,Na którą godzinę zaplanowano jutrzejsze zebranie/spotkanie?,gemini-2.5,seba
Mam dość tej roboty.,Jestem zmęczony/zmęczona tą pracą.,gemini-2.5,seba
Ekipa od marketingu dała czadu.,Zespół marketingowy wykonał świetną pracę.,gemini-2.5,seba
Trzeba by podkręcić wyniki sprzedaży.,Należałoby zwiększyć wyniki sprzedaży.,gemini-2.5,seba
Co sądzisz o tym pomyśle?,Jaką ma Pan/Pani opinię na temat tego pomysłu?,gemini-2.5,seba
Nie chce mi się dzisiaj nic robić.,Nie mam dzisiaj motywacji do działania.,gemini-2.5,seba
"Ale fail, zapomniałem kluczy.","Co za niefortunna sytuacja, zapomniałem kluczy.",gemini-2.5,seba
"Mordo, pożyczysz dyszkę?","Kolego, czy mógłbyś pożyczyć mi dziesięć złotych?",gemini-2.5,seba
Idziemy na browara po pracy?,Czy mieliby Państwo ochotę na piwo po zakończeniu pracy?,gemini-2.5,seba
Ta prezentacja była petarda!,Ta prezentacja była imponująca!,gemini-2.5,seba
Zgubiłem gdzieś słuchawki.,Nie mogę znaleźć moich słuchawek.,gemini-2.5,seba
"Jutro mam wolne, nareszcie!","Jutro mam dzień wolny od pracy, nareszcie!",gemini-2.5,seba
"Muszę się spiąć, żeby zdążyć.","Muszę się zmobilizować, aby zdążyć na czas.",gemini-2.5,seba
To auto żre dużo paliwa.,Ten samochód zużywa duże ilości paliwa.,gemini-2.5,seba
Co porabiasz w weekend?,Jakie ma Pan/Pani plany na weekend?,gemini-2.5,seba
"Dzięki za pomoc, jesteś super!","Dziękuję za pomoc, bardzo mi Pan/Pani pomógł/pomogła!",gemini-2.5,seba
"Mamy problem, system padł.","Mamy problem, wystąpiła awaria systemu.",gemini-2.5,seba
Nie jarzę tej nowej strategii firmy.,Nie rozumiem nowej strategii przedsiębiorstwa.,gemini-2.5,seba
Ale urwał! Co tu się stało?,Coś niespodziewanego! Co tutaj zaszło?,gemini-2.5,seba
Trzeba to puścić dalej w obieg.,Należy przekazać tę informację dalej.,gemini-2.5,seba
Ten kod jest strasznie zagmatwany.,Ten kod źródłowy jest bardzo skomplikowany.,gemini-2.5,seba
Wbijaj na imprezę urodzinową!,Zapraszam na przyjęcie urodzinowe!,gemini-2.5,seba
"Masakra, ile mam maili do odpisania.",Mam przytłaczającą liczbę wiadomości e-mail do przetworzenia.,gemini-2.5,seba
"Ogarnij się, bo nie zdążymy.","Proszę się pospieszyć, ponieważ możemy nie zdążyć.",gemini-2.5,seba
Ta książka jest naprawdę w dechę.,Ta książka jest naprawdę znakomita.,gemini-2.5,seba
Muszę zrzucić parę kilo.,Muszę zredukować masę ciała o kilka kilogramów.,gemini-2.5,seba
Spotkajmy się na dole za 5 minut.,Spotkajmy się na parterze za pięć minut.,gemini-2.5,seba
"Nie ściemniaj, wiem, że tam byłeś.","Proszę mówić prawdę, wiem, że Pan/Pani tam był/była.",gemini-2.5,seba
Szefuncio jest dzisiaj w dobrym humorze.,Przełożony jest dzisiaj w dobrym nastroju.,gemini-2.5,seba
Ale odwaliłeś kawał dobrej roboty!,Wykonał Pan/Pani doskonałą pracę!,gemini-2.5,seba
Mam ochotę na coś słodkiego.,Mam chęć zjeść coś słodkiego.,gemini-2.5,seba
"Winda znowu nie działa, lipa.","Winda ponownie jest niesprawna, co jest niedogodnością.",gemini-2.5,seba
Podrzuć mi linka do tego artykułu.,"Proszę, prześlij mi odnośnik do tego artykułu.",gemini-2.5,seba
Wkurza mnie ten hałas za oknem.,Irytuje mnie ten hałas dobiegający z zewnątrz.,gemini-2.5,seba
Nie mam siły już dzisiaj pracować.,"Jestem zbyt zmęczony/zmęczona, aby dzisiaj kontynuować pracę.",gemini-2.5,seba
Ten nowy pracownik to totalny luzak.,Ten nowy pracownik ma bardzo swobodne podejście.,gemini-2.5,seba
Co by tu zjeść na obiad?,Co moglibyśmy zjeść na obiad?,gemini-2.5,seba
"Zrób mi kawę, plis.",Czy mógłbyś/mogłabyś przygotować mi kawę?,gemini-2.5,seba
"Ale dzisiaj zimno, brrr.",Dzisiaj jest bardzo zimno.,gemini-2.5,seba
Trzeba by odświeżyć tę stronę internetową.,Należałoby zaktualizować tę witrynę internetową.,gemini-2.5,seba
"Nie wierzę, że to już piątek!","Trudno uwierzyć, że nadszedł już piątek!",gemini-2.5,seba
Ten serial mnie wciągnął na maksa.,Ten serial bardzo mnie zaangażował.,gemini-2.5,seba
Jaki masz pomysł na prezent dla niej?,Jaki ma Pan/Pani pomysł na prezent dla niej?,gemini-2.5,seba
Nie chce mi się iść na to szkolenie.,Nie mam ochoty uczestniczyć w tym szkoleniu.,gemini-2.5,seba
Ale gość nawijał bez sensu.,Ta osoba mówiła w sposób pozbawiony logiki.,gemini-2.5,seba
Musimy ustalić jakiś plan działania.,Musimy opracować plan działania.,gemini-2.5,seba
Ktoś mi podwędził długopis z biurka.,Ktoś zabrał długopis z mojego biurka.,gemini-2.5,seba
Ta gra jest mega wciągająca.,Ta gra jest niezwykle absorbująca.,gemini-2.5,seba
Nie rób mi obciachu przy ludziach.,"Proszę, nie stawiaj mnie w kłopotliwej sytuacji publicznie.",gemini-2.5,seba
"Zaraz wracam, idę tylko na fajkę.","Wrócę za chwilę, idę tylko zapalić papierosa.",gemini-2.5,seba
"Ależ ona jest zarozumiała, masakra.","Ona jest wyjątkowo zarozumiała, to trudne do zniesienia.",gemini-2.5,seba
"Dobra, kończymy na dzisiaj.","W porządku, zakończmy pracę na dzisiaj.",gemini-2.5,seba
Ten raport to jakaś pomyłka.,Ten raport zawiera liczne błędy/jest nieprawidłowy.,gemini-2.5,seba
Trzymaj kciuki za mnie jutro!,Proszę trzymać za mnie kciuki jutro!,gemini-2.5,seba
"Nie ogarniam, co tu się dzieje.",Nie rozumiem obecnej sytuacji.,gemini-2.5,seba
Ale fajna miejscówka na wakacje.,To bardzo atrakcyjne miejsce na spędzenie wakacji.,gemini-2.5,seba
"Muszę się wyspać, bo padam na twarz.","Muszę się wyspać, ponieważ jestem skrajnie zmęczony/zmęczona.",gemini-2.5,seba
Weź się w garść i do roboty!,Proszę się zmobilizować i przystąpić do pracy!,gemini-2.5,seba
"Co tam, jak leci?","Witam, jak się sprawy mają?",gemini-2.5,seba
"Spadaj stąd, przeszkadzasz mi.","Proszę odejść, przeszkadza mi Pan/Pani.",gemini-2.5,seba
Ten ciuch jest już niemodny.,To ubranie jest już nieaktualne pod względem mody.,gemini-2.5,seba
O której kończysz dziś robotę?,O której godzinie kończy Pan/Pani dzisiaj pracę?,gemini-2.5,seba
Nie zawracaj mi głowy pierdołami.,Proszę nie zajmować mojej uwagi nieistotnymi sprawami.,gemini-2.5,seba
Ta kawa jest jakaś lura.,Ta kawa jest bardzo słaba/niskiej jakości.,gemini-2.5,seba
Zrobię to na szybko.,Wykonam to w krótkim czasie.,gemini-2.5,seba
Ale dziś korek na mieście.,Dzisiaj obserwujemy znaczne natężenie ruchu drogowego w mieście.,gemini-2.5,seba
"Ziomek, podasz mi sól?","Kolego, czy mógłbyś podać mi sól?",gemini-2.5,seba
Mam pietra przed tą prezentacją.,Odczuwam tremę przed tą prezentacją.,gemini-2.5,seba
"Nie rób jaj, mów poważnie.","Proszę nie żartować, proszę mówić poważnie.",gemini-2.5,seba
Ta cała sytuacja jest bez sensu.,Cała ta sytuacja jest pozbawiona sensu.,gemini-2.5,seba
Muszę się ogarnąć z kasą.,Muszę uporządkować swoje finanse.,gemini-2.5,seba
Ale nudy na tym spotkaniu.,To spotkanie jest wyjątkowo nieciekawe.,gemini-2.5,seba
Trzeba by to załatwić od ręki.,Należałoby załatwić tę sprawę niezwłocznie.,gemini-2.5,seba
Gdzie zaparkowałeś brykę?,Gdzie zaparkował Pan/Pani samochód?,gemini-2.5,seba
"Nie spinaj się tak, wyluzuj.","Proszę się nie denerwować, proszę się zrelaksować.",gemini-2.5,seba
Ten gość jest totalnie odjechany.,Ta osoba zachowuje się w sposób bardzo ekscentryczny.,gemini-2.5,seba
Coś ty taki skwaszony dzisiaj?,Dlaczego jest Pan/Pani dzisiaj w tak złym nastroju?,gemini-2.5,seba
"Ale siara, zapomniałem portfela.","Co za wstydliwa sytuacja, zapomniałem portfela.",gemini-2.5,seba
"Chodźmy na spacer, przewietrzymy głowy.","Chodźmy na spacer, aby odświeżyć umysły.",gemini-2.5,seba
Nie mam siły na te twoje fochy.,Nie mam cierpliwości do Pańskich/Pani humorów.,gemini-2.5,seba
Ten nowy soft ma kupę błędów.,To nowe oprogramowanie zawiera wiele błędów.,gemini-2.5,seba
Ale ona ma fajny stylówek.,Ona ma bardzo interesujący styl ubierania się.,gemini-2.5,seba
Muszę wkuwać do egzaminu.,Muszę intensywnie uczyć się do egzaminu.,gemini-2.5,seba
"Nie świruj, wszystko będzie dobrze.","Proszę się nie martwić, wszystko ułoży się pomyślnie.",gemini-2.5,seba
Ta robota mnie wykańcza.,Ta praca jest dla mnie bardzo wyczerpująca.,gemini-2.5,seba
Coś bym przekąsił.,Chciałbym coś zjeść.,gemini-2.5,seba
Ale dałeś ciała z tym zadaniem.,Nie poradził Pan/Pani sobie dobrze z tym zadaniem.,gemini-2.5,seba
Musimy obgadać szczegóły projektu.,Musimy omówić szczegóły projektu.,gemini-2.5,seba
Nie mam kasy na takie wydatki.,Nie dysponuję środkami finansowymi na takie wydatki.,gemini-2.5,seba
Ta piosenka wpada w ucho.,Ta piosenka jest bardzo chwytliwa.,gemini-2.5,seba
Zamknij się wreszcie!,Proszę o ciszę!,gemini-2.5,seba
Ale dzisiaj jestem zagoniony.,Jestem dzisiaj bardzo zajęty/zajęta.,gemini-2.5,seba
Ten serial to totalny odmóżdżacz.,Ten serial służy głównie relaksowi i nie wymaga myślenia.,gemini-2.5,seba
"Muszę podładować telefon, bo zaraz padnie.","Muszę naładować telefon, ponieważ bateria jest bliska wyczerpania.",gemini-2.5,seba
Nie czepiaj się szczegółów.,Proszę nie skupiać się nadmiernie na szczegółach.,gemini-2.5,seba
Jakiś pomysł na weekendowy wypad?,Czy ma Pan/Pani jakiś pomysł na weekendowy wyjazd?,gemini-2.5,seba
Ten drink jest za mocny dla mnie.,Ten napój alkoholowy jest dla mnie zbyt mocny.,gemini-2.5,seba
"Zróbmy sobie przerwę, co?","Zróbmy sobie przerwę, zgoda?",gemini-2.5,seba
"Ale numer, spotkałem go wczoraj na mieście!","Co za zbieg okoliczności, spotkałem go wczoraj w mieście!",gemini-2.5,seba
Ta apka często się wiesza.,Ta aplikacja często przestaje odpowiadać.,gemini-2.5,seba
Muszę się bardziej postarać następnym razem.,Następnym razem muszę włożyć więcej wysiłku.,gemini-2.5,seba
"Nie rób wiochy, zachowuj się.","Proszę nie przynosić wstydu, proszę się odpowiednio zachowywać.",gemini-2.5,seba
Ta kawa postawiła mnie na nogi.,Ta kawa dodała mi energii.,gemini-2.5,seba
Coś mi tu śmierdzi w tej sprawie.,Coś wydaje mi się podejrzane w tej sprawie.,gemini-2.5,seba
"Wal śmiało, co masz na myśli.","Proszę mówić otwarcie, co Pan/Pani myśli.",gemini-2.5,seba
"Ale przypał, zgubiłem dokumenty.","Co za kłopotliwa sytuacja, zgubiłem dokumenty.",gemini-2.5,seba
Musimy to dopiąć na ostatni guzik.,Musimy dopracować wszystkie szczegóły.,gemini-2.5,seba
Ten film był strasznie przewidywalny.,Ten film był bardzo przewidywalny.,gemini-2.5,seba
Nie mam głowy do tego teraz.,Nie jestem w stanie się tym teraz zająć/myśleć o tym.,gemini-2.5,seba
Ale ona ma parcie na szkło.,Ona bardzo pragnie być w centrum uwagi mediów.,gemini-2.5,seba
"Daj mi sekundę, muszę coś sprawdzić.","Proszę dać mi chwilę, muszę coś zweryfikować.",gemini-2.5,seba
"Ta zupa jest za słona, bleh.","Ta zupa jest zbyt słona, nie smakuje mi.",gemini-2.5,seba
"Rób co chcesz, mnie to rybka.","Proszę postępować według własnego uznania, jest mi to obojętne.",gemini-2.5,seba
"Ale fart, że zdążyliśmy na pociąg!","Co za szczęście, że zdążyliśmy na pociąg!",gemini-2.5,seba
Ten nowy system jest do bani.,Ten nowy system jest nieudany/niepraktyczny.,gemini-2.5,seba
Muszę się wziąć za naukę języka.,Muszę zacząć uczyć się języka obcego.,gemini-2.5,seba
"Nie gadaj tyle, tylko rób.","Proszę mniej mówić, a więcej działać.",gemini-2.5,seba
Ale dzisiaj духота.,Dzisiaj jest bardzo duszno.,gemini-2.5,seba
Ten gość to niezły cwaniak.,Ta osoba jest bardzo sprytna/przebiegła.,gemini-2.5,seba
"Spoko loko, damy radę.","Spokojnie, poradzimy sobie.",gemini-2.5,seba
Ta muza mnie relaksuje.,Ta muzyka działa na mnie relaksująco.,gemini-2.5,seba
"Nie mam drobnych, masz rozmienić stówę?","Nie mam drobnych pieniędzy, czy mógłby Pan/Pani rozmienić banknot stuzłotowy?",gemini-2.5,seba
"Ale jaja, nie poznałem cię!","Co za niespodzianka, nie poznałem Pana/Pani!",gemini-2.5,seba
Trzeba zrobić porządek w papierach.,Należy uporządkować dokumentację.,gemini-2.5,seba
Ten trening dał mi w kość.,Ten trening był dla mnie bardzo wyczerpujący.,gemini-2.5,seba
"Nie bądź taki sztywny, uśmiechnij się.","Proszę nie być tak poważnym/spiętym, proszę się uśmiechnąć.",gemini-2.5,seba
Ta plotka szybko się rozniosła.,Ta plotka szybko się rozpowszechniła.,gemini-2.5,seba
Muszę kupić jakieś nowe ciuchy.,Muszę zakupić nowe ubrania.,gemini-2.5,seba
Co za debil to wymyślił?,Kto wpadł na tak nierozsądny pomysł?,gemini-2.5,seba
Ale masz fajny zegarek.,Ma Pan/Pani bardzo ładny zegarek.,gemini-2.5,seba
"Dobra, lecimy z tym tematem.","W porządku, przejdźmy do realizacji tego zadania/tematu.",gemini-2.5,seba
"Ten urlop mi się przyda, jestem wykończony.","Ten urlop jest mi potrzebny, jestem bardzo zmęczony.",gemini-2.5,seba
Nie mam ochoty na imprezę dzisiaj.,Nie mam dzisiaj nastroju na imprezę.,gemini-2.5,seba
"Ale żenada, co on powiedział.","To, co on powiedział, było bardzo żenujące.",gemini-2.5,seba
Musimy pomyśleć nad nową strategią.,Musimy rozważyć nową strategię.,gemini-2.5,seba
Ten hotel był całkiem spoko.,Ten hotel był całkiem przyzwoity.,gemini-2.5,seba
Weź no mi pomóż z tym.,Czy mógłbyś/mogłabyś mi z tym pomóc?,gemini-2.5,seba
Ale dzisiaj mam lenia.,Czuję dzisiaj dużą niechęć do działania.,gemini-2.5,seba
Ta kawa to jakaś siekiera.,Ta kawa jest bardzo mocna.,gemini-2.5,seba
"Daj spokój, nie ma co się kłócić.","Proszę o spokój, nie warto się kłócić.",gemini-2.5,seba
Ale wtopa z tym terminem.,Co za problem z tym terminem.,gemini-2.5,seba
Ten program jest mega intuicyjny.,Ten program jest niezwykle intuicyjny w obsłudze.,gemini-2.5,seba
Muszę się skupić na robocie.,Muszę skoncentrować się na pracy.,gemini-2.5,seba
"Nie ściemniaj, widziałem cię tam.","Proszę nie kłamać, widziałem Pana/Panią tam.",gemini-2.5,seba
"Ale z ciebie figura, gratulacje!","Gratuluję osiągnięcia, jest Pan/Pani ważną osobistością!",gemini-2.5,seba
"Chodź, przewietrzymy się trochę.","Chodźmy na krótki spacer, aby zaczerpnąć świeżego powietrza.",gemini-2.5,seba
Mam dość tych ciągłych zmian.,Jestem zmęczony/zmęczona tymi ciągłymi zmianami.,gemini-2.5,seba
Ten ficzer jest naprawdę przydatny.,Ta funkcja jest naprawdę użyteczna.,gemini-2.5,seba
Ale ona ma gadane.,Ona jest bardzo elokwentna/rozmowna.,gemini-2.5,seba
Trzeba by odnowić kontakt ze starymi znajomymi.,Należałoby odnowić kontakty z dawnymi znajomymi.,gemini-2.5,seba
"Nie mam pojęcia, gdzie to jest.",Nie posiadam informacji o lokalizacji tego miejsca.,gemini-2.5,seba
"Ale akcja, prawie się spóźniłem!","Co za sytuacja, omal się nie spóźniłem!",gemini-2.5,seba
Ten szef jest strasznie wymagający.,Ten przełożony stawia bardzo wysokie wymagania.,gemini-2.5,seba
"Dobra, zgoda, zróbmy tak.","W porządku, zgadzam się, postąpmy w ten sposób.",gemini-2.5,seba
Muszę naładować baterie przez weekend.,Muszę odpocząć i zregenerować siły przez weekend.,gemini-2.5,seba
Nie chce mi się gadać o polityce.,Nie mam ochoty rozmawiać o polityce.,gemini-2.5,seba
"Ale obciach, pomyliłem imiona.","Co za wstyd, pomyliłem imiona.",gemini-2.5,seba
Ten news to pewnie fejk.,Ta wiadomość to prawdopodobnie nieprawdziwa informacja.,gemini-2.5,seba
"Weź się uspokój, nic się nie stało.","Proszę się uspokoić, nic poważnego się nie wydarzyło.",gemini-2.5,seba
Ale ta pizza jest pyszna!,Ta pizza jest wyśmienita!,gemini-2.5,seba
Trzeba by pomyśleć o jakimś backupie.,Należałoby rozważyć stworzenie kopii zapasowej.,gemini-2.5,seba
Nie mam siły na kolejną rundę.,Jestem zbyt zmęczony/zmęczona na kolejną rundę/etap.,gemini-2.5,seba
Ten koleś jest strasznie upierdliwy.,Ta osoba jest bardzo natrętna/uciążliwa.,gemini-2.5,seba
"Super pomysł, wchodzę w to!","Doskonały pomysł, zgadzam się na udział!",gemini-2.5,seba
Ta pogoda mnie dobija.,Ta pogoda wpływa na mnie deprymująco.,gemini-2.5,seba
Nie mam głowy do zakupów dzisiaj.,Nie jestem dzisiaj w nastroju do robienia zakupów.,gemini-2.5,seba
Ale ona ma talent do języków.,Ona posiada duży talent do nauki języków obcych.,gemini-2.5,seba
Zróbmy listę rzeczy do zrobienia.,Przygotujmy listę zadań do wykonania.,gemini-2.5,seba
"Ten błąd jest krytyczny, trzeba go naprawić ASAP.","Ten błąd jest krytyczny, należy go naprawić jak najszybciej.",gemini-2.5,seba
Nie chce mi się stać w tej kolejce.,Nie mam ochoty stać w tej kolejce.,gemini-2.5,seba
Ale urwanie głowy z tym projektem.,Ten projekt wymaga ogromnego nakładu pracy i uwagi.,gemini-2.5,seba
Ten artykuł to czysta propaganda.,Ten artykuł ma charakter czysto propagandowy.,gemini-2.5,seba
"Daj mi chwilę, muszę pomyśleć.",Proszę dać mi chwilę na zastanowienie.,gemini-2.5,seba
Ale ten widok jest niesamowity!,Ten widok jest naprawdę zachwycający!,gemini-2.5,seba
"Muszę ograniczyć słodycze, serio.",Muszę poważnie ograniczyć spożycie słodyczy.,gemini-2.5,seba
"Nie pitol, tylko powiedz, jak było.","Proszę mówić konkretnie i opowiedzieć, jak było.",gemini-2.5,seba
Ale miałem dziwny sen dzisiaj.,Miałem dzisiaj bardzo nietypowy sen.,gemini-2.5,seba
Ten ekspres robi super kawę.,Ten ekspres przygotowuje doskonałą kawę.,gemini-2.5,seba
"Dobra, fajrant na dzisiaj.","W porządku, koniec pracy na dzisiaj.",gemini-2.5,seba
Mam zagwozdkę z tym problemem.,Mam trudność z rozwiązaniem tego problemu.,gemini-2.5,seba
"Nie rób scen, dogadamy się.","Proszę o spokój, dojdziemy do porozumienia.",gemini-2.5,seba
Ale ten tort wygląda apetycznie!,Ten tort prezentuje się bardzo apetycznie!,gemini-2.5,seba
Trzeba by uaktualnić dane w systemie.,Należy zaktualizować dane w systemie.,gemini-2.5,seba
Mam kaca moralnego po wczorajszym.,Odczuwam wyrzuty sumienia z powodu wczorajszych wydarzeń.,gemini-2.5,seba
Ten gość to niezły bajerant.,Ta osoba potrafi być bardzo przekonująca/uwodzicielska.,gemini-2.5,seba
"Spoko, ogarnę to dla ciebie.","Oczywiście, zajmę się tym dla Pana/Pani.",gemini-2.5,seba
Ta książka to totalny must-read.,Tę książkę absolutnie należy przeczytać.,gemini-2.5,seba
Nie mam siły na sprzątanie dzisiaj.,"Jestem zbyt zmęczony/zmęczona, aby dzisiaj sprzątać.",gemini-2.5,seba
Ale ona ma świetne wyczucie stylu.,Ona posiada doskonałe wyczucie stylu.,gemini-2.5,seba
"Co ty gadasz, to niemożliwe!","Co Pan/Pani mówi, to wydaje się niemożliwe!",gemini-2.5,seba
Trzeba by się spotkać i to przegadać.,Należałoby się spotkać i omówić tę kwestię.,gemini-2.5,seba
Nie mam czasu na pierdoły.,Nie mam czasu na nieistotne sprawy.,gemini-2.5,seba
"Ale odlot, wygraliśmy mecz!","Co za wspaniała wiadomość, wygraliśmy mecz!",gemini-2.5,seba
Ten nowy soft jest jakiś niedorobiony.,To nowe oprogramowanie wydaje się niedopracowane.,gemini-2.5,seba
Muszę się w końcu wyspać porządnie.,Muszę wreszcie zadbać o odpowiednią ilość snu.,gemini-2.5,seba
"Nie panikuj, znajdziemy rozwiązanie.","Proszę nie panikować, znajdziemy rozwiązanie.",gemini-2.5,seba
Ale ten koncert był energetyczny!,Ten koncert był pełen energii!,gemini-2.5,seba
"Dobra, do jutra, trzymaj się!","W porządku, do zobaczenia jutro, trzymaj się!",gemini-2.5,seba
Mam dosyć tego marudzenia.,Jestem zmęczony/zmęczona tym narzekaniem.,gemini-2.5,seba
"Nie ściemniaj, wiem że masz czas.","Proszę nie udawać, wiem, że dysponuje Pan/Pani czasem.",gemini-2.5,seba
"Ale numer, zapomniałem o spotkaniu!","Co za sytuacja, zapomniałem o spotkaniu!",gemini-2.5,seba
"Chodźmy coś zjeść, jestem głodny jak wilk.","Chodźmy coś zjeść, jestem bardzo głodny/głodna.",gemini-2.5,seba
Ta fucha jest całkiem dobrze płatna.,Ta praca/zlecenie oferuje całkiem dobre wynagrodzenie.,gemini-2.5,seba
"Muszę skończyć ten raport, bo szef mnie zabije.","Muszę ukończyć ten raport, aby uniknąć reprymendy od przełożonego.",gemini-2.5,seba
"Nie rób scen, to tylko mały problem.","Proszę nie przesadzać, to jedynie niewielki problem.",gemini-2.5,seba
Ale dzisiaj jestem nie do życia.,Czuję się dzisiaj bardzo źle/jestem niedysponowany/niedysponowana.,gemini-2.5,seba
Ten filmik rozwalił system.,Ten materiał wideo stał się niezwykle popularny.,gemini-2.5,seba
"Daj mi znać, jak skończysz.",Proszę poinformować mnie o zakończeniu pracy.,gemini-2.5,seba
Ale ten nowy pracownik jest ogarnięty.,Ten nowy pracownik jest bardzo kompetentny/zorganizowany.,gemini-2.5,seba
Trzeba by zrobić burzę mózgów w zespole.,Należałoby zorganizować sesję burzy mózgów w zespole.,gemini-2.5,seba
Nie mam siły na dyskusje teraz.,Nie jestem teraz w stanie prowadzić dyskusji.,gemini-2.5,seba
Ten smartfon ma wypasiony aparat.,Ten smartfon jest wyposażony w doskonały aparat fotograficzny.,gemini-2.5,seba
Co ty pleciesz za głupoty?,Jakie niedorzeczności Pan/Pani opowiada?,gemini-2.5,seba
"Dobra, klepnięte, umowa stoi.","W porządku, uzgodnione, umowa jest zawarta.",gemini-2.5,seba
"Ale masakra na drodze, wypadek był.",Na drodze panuje chaos z powodu wypadku.,gemini-2.5,seba
"Ten plan jest do kitu, trzeba go zmienić.","Ten plan jest nieodpowiedni, wymaga modyfikacji.",gemini-2.5,seba
Muszę się odstresować po pracy.,Muszę zrelaksować się po pracy.,gemini-2.5,seba
"Nie bądź taki ponury, uśmiechnij się!","Proszę nie być tak smutnym/poważnym, proszę się uśmiechnąć!",gemini-2.5,seba
Ale jaja sobie robisz?,Czy Pan/Pani żartuje?,gemini-2.5,seba
